127.0.0.1 - - [05/Apr/2019:22:12:24 +0200] "GET / HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [05/Apr/2019:22:12:24 +0200] "GET /InterfaceEcole/ HTTP/1.1" 200 26
0:0:0:0:0:0:0:1 - - [05/Apr/2019:22:13:36 +0200] "GET /InterfaceEcole/index.jsp HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [05/Apr/2019:22:13:39 +0200] "GET /InterfaceEcole/index.jsp HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [05/Apr/2019:22:13:41 +0200] "GET /InterfaceEcole/index.jsp HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [05/Apr/2019:22:13:41 +0200] "GET /InterfaceEcole/index.jsp HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [05/Apr/2019:22:13:42 +0200] "GET /InterfaceEcole/index.jsp HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [05/Apr/2019:22:13:42 +0200] "GET /InterfaceEcole/index.jsp HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [05/Apr/2019:22:13:46 +0200] "GET /InterfaceEcole/ HTTP/1.1" 200 26
0:0:0:0:0:0:0:1 - - [05/Apr/2019:22:18:02 +0200] "GET /InterfaceEcole/ HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [05/Apr/2019:22:18:05 +0200] "GET /InterfaceEcole/ HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [05/Apr/2019:22:22:19 +0200] "GET /InterfaceEcole/ HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Apr/2019:22:22:22 +0200] "GET /InterfaceEcole/ HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Apr/2019:22:39:27 +0200] "GET /InterfaceEcole/ControlleurPrincipal HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Apr/2019:22:39:42 +0200] "GET /InterfaceEcole/ControlleurPrincipal/index.jsp HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [05/Apr/2019:22:39:49 +0200] "GET /InterfaceEcole/ControlleurPrincipal HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Apr/2019:22:39:54 +0200] "GET /InterfaceEcole/ControlleurPrincipal HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Apr/2019:22:41:36 +0200] "GET /InterfaceEcole/index.jsp HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [05/Apr/2019:22:41:38 +0200] "GET /InterfaceEcole/index.jsp HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [05/Apr/2019:22:41:39 +0200] "GET /InterfaceEcole/index.jsp HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [05/Apr/2019:22:41:42 +0200] "GET /InterfaceEcole/index.jsp HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [05/Apr/2019:22:41:42 +0200] "GET /InterfaceEcole/index.jsp HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [05/Apr/2019:22:41:47 +0200] "GET /InterfaceEcole/ControlleurPrincipal/index.jsp HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [05/Apr/2019:22:41:58 +0200] "GET /InterfaceEcole/ControlleurPrincipal/view/index.jsp HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [05/Apr/2019:22:42:28 +0200] "GET /InterfaceEcole/ControlleurPrincipal/ HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Apr/2019:22:42:45 +0200] "GET /InterfaceEcole/ControlleurPrincipal/AUGE001 HTTP/1.1" 200 -
